0.205 0.287 0.322 0.356 0.434 0.438 0.484 0.52 0.534
0.179 0.258 0.312 0.335 0.431 0.454 0.45 0.524 0.531
0.159 0.217 0.3 0.368 0.456 0.455 0.473 0.536 0.544
0.179 0.233 0.282 0.341 0.438 0.475 0.467 0.544 0.528
0.204 0.251 0.293 0.326 0.455 0.489 0.507 0.513 0.567
0.244 0.281 0.308 0.336 0.455 0.447 0.519 0.538 0.591
0.184 0.269 0.301 0.35 0.434 0.428 0.467 0.506 0.542
0.157 0.234 0.318 0.368 0.431 0.483 0.487 0.492 0.581
0.181 0.238 0.298 0.348 0.442 0.466 0.506 0.567 0.594
0.162 0.23 0.272 0.338 0.449 0.432 0.429 0.482 0.556
0.166 0.247 0.29 0.332 0.447 0.494 0.473 0.495 0.536
0.184 0.243 0.303 0.347 0.492 0.5 0.546 0.526 0.615
0.201 0.26 0.308 0.36 0.458 0.487 0.513 0.543 0.568
0.19 0.266 0.323 0.359 0.459 0.48 0.515 0.547 0.577
0.163 0.24 0.306 0.368 0.48 0.496 0.55 0.592 0.604
0.201 0.278 0.327 0.385 0.491 0.511 0.517 0.56 0.602
0.185 0.25 0.322 0.372 0.471 0.513 0.508 0.538 0.573
0.196 0.257 0.31 0.356 0.473 0.505 0.511 0.546 0.585
0.172 0.248 0.299 0.348 0.455 0.475 0.53 0.5 0.547
0.21 0.26 0.317 0.356 0.456 0.489 0.508 0.545 0.576
0.194 0.253 0.301 0.357 0.438 0.464 0.489 0.514 0.551
0.19 0.246 0.303 0.342 0.451 0.484 0.521 0.535 0.574
0.206 0.245 0.288 0.333 0.429 0.458 0.511 0.523 0.557
0.181 0.251 0.277 0.341 0.489 0.49 0.488 0.521 0.54
0.158 0.258 0.318 0.355 0.482 0.506 0.519 0.579 0.588
0.14 0.221 0.328 0.378 0.481 0.547 0.538 0.509 0.603
0.164 0.236 0.291 0.333 0.437 0.455 0.469 0.531 0.566
0.149 0.206 0.288 0.33 0.452 0.508 0.527 0.533 0.586
0.16 0.207 0.26 0.346 0.448 0.452 0.478 0.487 0.511
0.162 0.214 0.268 0.295 0.437 0.461 0.517 0.548 0.559
0.161 0.201 0.249 0.297 0.411 0.442 0.491 0.535 0.573
0.175 0.223 0.274 0.332 0.43 0.452 0.495 0.518 0.525
0.155 0.216 0.255 0.288 0.39 0.453 0.498 0.503 0.557
0.144 0.179 0.249 0.281 0.374 0.414 0.441 0.5 0.52
0.165 0.199 0.238 0.291 0.387 0.416 0.466 0.472 0.517
0.207 0.247 0.254 0.288 0.381 0.412 0.447 0.485 0.549
0.183 0.24 0.282 0.299 0.382 0.403 0.427 0.441 0.469
0.204 0.237 0.278 0.308 0.377 0.394 0.426 0.43 0.494
